"dia_ocu","mes_ocu","dia_sem_ocu","hora_ocu","depto_ocu","areag_ocu","zona_ocu","sexo_pil","edad_pil","estado_pil","tipo_veh","color_veh","modelo_veh","causa_acc","ano_ocu","muni_ocu","grupo_edad_pil","mayor_men","marca_veh","grupo_mod_veh","grupo_hor_ocu","grupo_eda_pil"
31,"Mayo","Lunes",19,"Guatemala","Rural",99,"Mujer",99,"No Ebrio","Pick-up","Corinto","99","Vuelco",2010,NA,NA,NA,NA,NA,NA,NA
23,"Julio","Viernes",20,"Escuintla","Rural",99,"Hombre",99,"No Ebrio","Motocicleta","Rojo","99","Colision",2010,NA,NA,NA,NA,NA,NA,NA
1,"Abril","Jueves",20,"Escuintla","Rural",99,"Hombre",99,"No Ebrio","Camioneta","Ignorado","99","Caida",2010,NA,NA,NA,NA,NA,NA,NA
5,"Mayo","Miercoles",20,"Quiche","Rural",99,"Hombre",99,"No Ebrio","Camion","Amarillo","99","Caida",2010,NA,NA,NA,NA,NA,NA,NA
16,"Marzo","Martes",20,"Escuintla","Rural",99,"Hombre",99,"Ignorado","Automovil","Gris","99","Choque",2010,NA,NA,NA,NA,NA,NA,NA
31,"Marzo","Miercoles",20,"Escuintla","Rural",99,"Hombre",99,"Ebrio","Camioneta","Gris","99","Caida",2010,NA,NA,NA,NA,NA,NA,NA
18,"Diciembre","Sabado",22,"Escuintla","Rural",99,"Hombre",99,"Ignorado","Automovil","Gris","99","Colision",2010,NA,NA,NA,NA,NA,NA,NA
4,"Octubre","Lunes",23,"Escuintla","Urbano",99,"Hombre",99,"Ebrio","Pick-up","Verde","99","Colision",2010,NA,NA,NA,NA,NA,NA,NA
8,"Mayo","Sabado",23,"Chimaltenango","Rural",99,"Ignorado",99,"Ignorado","Camion","Ignorado","99","Colision",2010,NA,NA,NA,NA,NA,NA,NA
14,"Noviembre","Domingo",8,"Huehuetenango","Rural",99,"Hombre",99,"No Ebrio","Camioneta","Azul","99","Caida",2010,NA,NA,NA,NA,NA,NA,NA
28,"Febrero","Domingo",8,"El Progreso","Rural",99,"Hombre",99,"Ignorado","Automovil","Blanco","99","Colision",2010,NA,NA,NA,NA,NA,NA,NA
