<<<<<<< Updated upstream
"num_hecho","dia_ocu","mes_ocu","dia_sem_ocu","hora_ocu","depto_ocu","mupio_ocu","areag_ocu","zona_ocu","sexo_pil","edad_pil","mayor_menor","tipo_veh","color_veh","modelo_veh","causa_acc","marca_veh","g_edad","estado_pil","grupo_mode_veh"
1,1,"Enero","Martes",3,"Guatemala","Chinuautla","URBANO","6","Hombre","32","Mayor","Pick up","Ignorado","Ignorado","CHOQUE","Ignorado","30-34","EBRIO","Ignorado"
2,1,"Enero","Martes",5,"Guatemala","Guatemala","URBANO","11","Hombre","34","Mayor","Automovil","Blanco","2010-2013","CHOQUE","Chevrolet","30-34","EBRIO","2010-2014"
3,1,"Enero","Martes",3,"Guatemala","Mixco","URBANO","3","Hombre","28","Mayor","Automovil","Gris","Ignorado","COLISION","Hyundai","25-29","EBRIO","Ignorado"
4,1,"Enero","Martes",3,"Guatemala","Mixco","URBANO","3","Hombre","43","Mayor","Pick up","Verde","2000-2009","COLISION","Toyota","40-44","NORMAL","2000-2009"
5,1,"Enero","Martes",0,"Zacapa","Zacapa","RURAL","Ignorado","Hombre","21","Mayor","Motocicleta","Rojo","2010-2013","CHOQUE","Italika","20-24","NORMAL","2010-2014"
6,1,"Enero","Martes",18,"Zacapa","Zacapa","RURAL","Ignorado","Hombre","19","Mayor","Pick up","Rojo","Ignorado","VUELCO","Toyota","15-19","IGNORADO","Ignorado"
7,1,"Enero","Martes",0,"Escuintla","Santa Lucía Cotzumalguapa","RURAL","Ignorado","Hombre","24","Mayor","Motocicleta","Negro","2000-2009","CHOQUE","Bajaj","20-24","NORMAL","2000-2009"
8,1,"Enero","Martes",11,"Quetzaltenango","Quetzaltenango","RURAL","Ignorado","Hombre","36","Mayor","Camioneta","Negro","Ignorado","CHOQUE","Toyota","35-39","EBRIO","Ignorado"
9,1,"Enero","Martes",1,"San Marcos","Ayutla","RURAL","Ignorado","Hombre","38","Mayor","Camión","Verde","1990-1999","COLISION","Mitsubishi","35-39","NORMAL","1990-1999"
10,1,"Enero","Martes",1,"San Marcos","Ayutla","RURAL","Ignorado","Ignorado","Ignorado","Mayor","Motocicleta","Azul","Ignorado","COLISION","Sniper","Ignorado","EBRIO","Ignorado"
11,1,"Enero","Martes",7,"Huehuetenango","Concepción","RURAL","Ignorado","Ignorado","Ignorado","Mayor","Pick up","Ignorado","Ignorado","VUELCO","Toyota","Ignorado","NORMAL","Ignorado"
12,1,"Enero","Martes",8,"Alta Verapaz","Tactic","RURAL","Ignorado","Hombre","33","Mayor","Camión","Blanco","1990-1999","CHOQUE","Hino","30-34","EBRIO","1990-1999"
13,1,"Enero","Martes",3,"Izabal","Puerto Barrios","RURAL","Ignorado","Hombre","25","Mayor","Motocicleta","Ignorado","Ignorado","CHOQUE","Ignorado","25-29","NORMAL","Ignorado"
14,1,"Enero","Martes",4,"Sacatepéquez","Antigua Guatemala","RURAL","Ignorado","Mujer","25","Mayor","Motocicleta","Ignorado","Ignorado","CHOQUE","Ignorado","25-29","NORMAL","Ignorado"
15,1,"Enero","Martes",2,"Sacatepéquez","San Lucas Sacatepéquez","RURAL","Ignorado","Hombre","22","Mayor","Motocicleta","Negro","Ignorado","CHOQUE","Ignorado","20-24","NORMAL","Ignorado"
16,2,"Enero","Miercoles",15,"Guatemala","Guatemala","URBANO","1","Hombre","40","Mayor","Pick up","Blanco","2000-2009","COLISION","Toyota","40-44","NORMAL","2000-2009"
17,2,"Enero","Miercoles",15,"Guatemala","Guatemala","URBANO","1","Hombre","26","Mayor","Motocicleta","Ignorado","Ignorado","COLISION","Ignorado","25-29","NORMAL","Ignorado"
18,2,"Enero","Miercoles",7,"Guatemala","Guatemala","URBANO","1","Ignorado","Ignorado","Ignorado","Bus urbano","Verde","Ignorado","COLISION","Ignorado","Ignorado","IGNORADO","Ignorado"
19,2,"Enero","Miercoles",7,"Guatemala","Guatemala","URBANO","1","Ignorado","Ignorado","Ignorado","Bus urbano","Corinto","1990-1999","COLISION","International","Ignorado","IGNORADO","1990-1999"
20,2,"Enero","Miercoles",22,"Guatemala","Guatemala","URBANO","5","Hombre","49","Mayor","Taxi","Blanco","Ignorado","COLISION","Hyundai","45-49","NORMAL","Ignorado"
21,2,"Enero","Miercoles",22,"Guatemala","Guatemala","URBANO","5","Mujer","45","Mayor","Automovil","Azul","Ignorado","COLISION","Toyota","45-49","NORMAL","Ignorado"
22,2,"Enero","Miercoles",7,"Escuintla","Escuintla","RURAL","Ignorado","Hombre","52","Mayor","Camión","Blanco","1990-1999","COLISION","Toyota","50-54","NORMAL","1990-1999"
23,2,"Enero","Miercoles",7,"Escuintla","Escuintla","RURAL","Ignorado","Hombre","32","Mayor","Motocicleta","Ignorado","Ignorado","COLISION","Ignorado","30-34","NORMAL","Ignorado"
24,2,"Enero","Miercoles",10,"Santa Rosa","Guazacapán","RURAL","Ignorado","Hombre","35","Mayor","Bus urbano","Ignorado","Ignorado","VUELCO","Ignorado","35-39","NORMAL","Ignorado"
25,2,"Enero","Miercoles",18,"Huehuetenango","Huehuetenango","URBANO","3","Hombre","36","Mayor","Motocicleta","Azul","Ignorado","COLISION","Sniper","35-39","EBRIO","Ignorado"
26,2,"Enero","Miercoles",18,"Huehuetenango","Huehuetenango","URBANO","3","Hombre","Ignorado","Ignorado","Motocicleta","Ignorado","Ignorado","COLISION","Ignorado","Ignorado","EBRIO","Ignorado"
