"","núm_corre","año_ocu","mes_ocu","día_ocu","día_sem_ocu","hora_ocu","g_hora","g_hora_5","depto_ocu","mupio_ocu","área_geo_ocu","zona_ocu","sexo_per","edad_per","mayor_menor","g_edad_80ymás","g_edad_60ymás","edad_quinquenales","estado_con","tipo_veh","marca_veh","color_veh","modelo_veh","g_modelo_veh","tipo_eve"
"1",1,2015,1,1,4,16,3,2,1,101,1,1,1,19,1,2,2,4,9,4,21,5,2011,5,1
"2",2,2015,1,1,4,22,4,3,1,101,1,16,1,32,1,5,5,7,1,4,21,5,9999,6,1
"3",3,2015,1,1,4,2,1,1,1,101,1,7,9,999,9,16,12,18,9,3,44,6,9999,6,1
"4",4,2015,1,1,4,9,2,1,1,101,1,12,1,20,1,3,3,5,9,4,40,5,9999,6,2
"5",5,2015,1,1,4,1,1,1,1,115,1,8,1,23,1,3,3,5,9,1,34,4,9999,6,2
"6",6,2015,1,1,4,8,2,1,1,114,2,99,1,19,1,2,2,4,1,4,41,4,9999,6,3
"7",7,2015,1,1,4,17,3,2,1,110,2,99,1,23,1,3,3,5,1,4,21,1,9999,6,1
"8",8,2015,1,1,4,10,2,1,6,602,2,99,1,24,1,3,3,5,2,4,99,5,9999,6,3
"9",9,2015,1,1,4,20,4,3,6,602,2,99,1,29,1,4,4,6,1,3,44,1,2015,5,1
"10",10,2015,1,1,4,7,2,1,11,1101,2,99,1,21,1,3,3,5,2,3,44,2,2001,4,3
"11",11,2015,1,1,4,15,3,2,15,1501,2,99,9,999,9,16,12,18,9,1,99,5,9999,6,1
"12",12,2015,1,2,5,1,1,1,1,101,1,16,1,33,1,5,5,7,9,1,44,3,9999,6,1
"13",13,2015,1,2,5,10,2,1,1,101,1,10,1,22,1,3,3,5,9,4,49,3,9999,6,1
"14",14,2015,1,2,5,23,4,3,1,101,1,5,1,30,1,5,5,7,9,1,30,3,2003,4,1
"15",15,2015,1,2,5,0,1,1,1,115,1,1,1,82,1,15,11,17,9,1,99,3,9999,6,2
"16",16,2015,1,2,5,0,1,1,21,2106,2,99,1,26,1,4,4,6,9,1,21,1,1998,3,3
"17",17,2015,1,2,5,12,3,2,20,2001,2,99,9,999,9,16,12,18,9,4,99,5,2012,5,1
"18",18,2015,1,2,5,15,3,2,5,508,2,99,1,25,1,4,4,6,9,6,22,6,1992,3,3
"19",19,2015,1,2,5,7,2,1,12,1201,2,99,1,16,2,2,2,4,9,4,42,5,9999,6,1
"20",20,2015,1,2,5,9,2,1,16,1601,2,99,9,999,9,16,12,18,9,3,99,99,9999,6,2
"21",21,2015,1,2,5,17,3,2,18,1801,2,99,2,45,1,8,8,10,9,4,99,1,9999,6,3
"22",22,2015,1,2,5,4,1,1,7,701,1,1,9,999,9,16,12,18,9,3,2,1,9999,6,1
"23",23,2015,1,3,6,20,4,3,1,101,1,2,9,999,9,16,12,18,9,11,44,2,1993,3,1
"24",24,2015,1,3,6,6,2,1,1,101,1,18,9,999,9,16,12,18,9,6,99,99,9999,6,1
"25",25,2015,1,3,6,1,1,1,1,101,1,18,9,999,9,16,12,18,9,99,99,99,9999,6,1
"26",26,2015,1,3,6,23,4,3,19,1904,2,99,9,999,9,16,12,18,1,3,44,3,1994,3,1
"27",27,2015,1,3,6,11,2,1,5,506,2,99,1,27,1,4,4,6,9,4,21,1,9999,6,3
"28",28,2015,1,3,6,22,4,3,6,611,2,99,9,999,9,16,12,18,9,99,99,99,9999,6,1
"29",29,2015,1,3,6,10,2,1,18,1805,2,99,1,45,1,8,8,10,1,4,2,99,2009,4,1
"30",30,2015,1,3,6,19,4,3,18,1801,2,99,1,20,1,3,3,5,9,4,14,5,9999,6,1
"31",31,2015,1,3,6,10,2,1,18,1801,2,99,9,999,9,16,12,18,9,4,99,99,9999,6,1
"32",32,2015,1,3,6,22,4,3,3,313,2,99,1,999,9,16,12,18,9,1,44,11,2004,4,1
"33",33,2015,1,4,7,17,3,2,1,101,1,1,1,35,1,6,6,8,9,4,37,5,2011,5,1
"34",34,2015,1,4,7,19,4,3,1,115,1,2,1,20,1,3,3,5,9,4,2,5,9999,6,1
"35",35,2015,1,4,7,11,2,1,1,115,2,99,9,999,9,16,12,18,9,99,99,99,9999,6,1
"36",36,2015,1,4,7,11,2,1,22,2201,2,99,2,23,1,3,3,5,9,4,41,99,2014,5,1
"37",37,2015,1,4,7,10,2,1,21,2104,2,99,1,21,1,3,3,5,9,4,2,7,2014,5,1
"38",38,2015,1,4,7,11,2,1,21,2102,2,99,9,999,9,16,12,18,9,12,99,99,9999,6,3
"39",39,2015,1,4,7,10,2,1,5,502,2,99,1,22,1,3,3,5,9,4,2,5,2014,5,3
"40",40,2015,1,4,7,23,4,3,5,509,2,99,1,38,1,6,6,8,9,4,99,99,9999,6,2
"41",41,2015,1,4,7,19,4,3,5,502,2,99,1,20,1,3,3,5,9,4,99,5,9999,6,1
"42",42,2015,1,4,7,20,4,3,9,920,1,3,9,999,9,16,12,18,9,1,99,99,9999,6,1
"43",43,2015,1,4,7,1,1,1,9,901,1,5,9,999,9,16,12,18,9,1,21,6,9999,6,1
"44",44,2015,1,4,7,22,4,3,12,1202,1,4,9,999,9,16,12,18,9,1,32,2,2003,4,1
"45",45,2015,1,4,7,3,1,1,12,1201,1,2,1,32,1,5,5,7,2,1,32,4,9999,6,2
"46",46,2015,1,4,7,9,2,1,12,1218,2,99,1,26,1,4,4,6,9,4,99,99,9999,6,2
"47",47,2015,1,4,7,19,4,3,17,1703,2,99,1,30,1,5,5,7,9,4,99,99,9999,6,4
"48",48,2015,1,4,7,21,4,3,17,1712,2,99,1,34,1,5,5,7,9,4,99,99,9999,6,4
"49",49,2015,1,4,7,17,3,2,4,407,2,99,1,24,1,3,3,5,2,4,41,5,9999,6,1
"50",50,2015,1,5,1,9,2,1,1,101,1,5,9,999,9,16,12,18,9,1,99,99,9999,6,1
"51",51,2015,1,5,1,6,2,1,5,502,2,99,9,999,9,16,12,18,9,3,44,6,2008,4,1
"52",52,2015,1,5,1,18,4,3,16,1601,2,99,9,999,9,16,12,18,9,3,99,7,9999,6,1
"53",53,2015,1,5,1,7,2,1,15,1502,2,99,1,44,1,7,7,9,1,5,19,2,9999,6,1
"54",54,2015,1,5,1,9,2,1,3,302,2,99,1,32,1,5,5,7,1,14,2,4,2004,4,1
"55",55,2015,1,6,2,11,2,1,1,101,1,12,1,42,1,7,7,9,9,1,99,1,9999,6,1
"56",56,2015,1,6,2,7,2,1,20,2011,2,99,1,32,1,5,5,7,9,4,99,99,9999,6,2
"57",57,2015,1,6,2,4,1,1,10,1014,2,99,1,27,1,4,4,6,1,4,2,1,9999,6,3
"58",58,2015,1,6,2,4,1,1,13,1304,2,99,9,999,9,16,12,18,9,3,99,99,9999,6,3
"59",59,2015,1,6,2,16,3,2,2,201,2,99,1,22,1,3,3,5,9,4,42,5,9999,6,3
"60",60,2015,1,6,2,15,3,2,18,1804,2,99,9,999,9,16,12,18,9,6,99,2,9999,6,1
"61",61,2015,1,6,2,15,3,2,17,1712,2,99,1,18,1,2,2,4,9,4,99,99,9999,6,2
"62",62,2015,1,7,3,1,1,1,1,101,1,1,1,77,1,14,11,16,9,12,22,99,9999,6,1
"63",63,2015,1,7,3,21,4,3,1,101,1,7,9,999,9,16,12,18,9,1,99,99,9999,6,1
"64",64,2015,1,7,3,2,1,1,5,509,2,99,1,22,1,3,3,5,9,4,99,99,9999,6,4
"65",65,2015,1,7,3,19,4,3,10,1021,2,99,1,22,1,3,3,5,9,4,21,5,2012,5,1
"66",66,2015,1,7,3,7,2,1,11,1107,2,99,1,49,1,8,8,10,9,4,99,99,9999,6,2
"67",67,2015,1,7,3,18,4,3,2,204,2,99,1,30,1,5,5,7,2,3,44,11,9999,6,1
"68",68,2015,1,8,4,15,3,2,1,101,1,11,2,23,1,3,3,5,9,1,46,99,2011,5,1
"69",69,2015,1,8,4,22,4,3,1,110,2,99,1,25,1,4,4,6,9,1,47,5,9999,6,1
"70",70,2015,1,8,4,18,4,3,22,2206,2,99,1,49,1,8,8,10,9,3,99,8,1987,2,3
"71",71,2015,1,8,4,21,4,3,11,1103,2,99,1,40,1,7,7,9,9,3,44,3,2009,4,2
"72",72,2015,1,8,4,20,4,3,9,901,1,3,1,39,1,6,6,8,9,1,30,6,2002,4,1
"73",73,2015,1,8,4,11,2,1,12,1218,2,99,1,22,1,3,3,5,9,14,99,99,9999,6,1
"74",74,2015,1,8,4,0,1,1,17,1710,2,99,1,39,1,6,6,8,9,2,99,6,9999,6,4
"75",75,2015,1,9,5,20,4,3,1,101,1,1,1,20,1,3,3,5,9,4,21,9,9999,6,1
"76",76,2015,1,9,5,23,4,3,1,101,1,6,1,20,1,3,3,5,9,4,24,5,9999,6,1
"77",77,2015,1,9,5,22,4,3,22,2201,2,99,9,999,9,16,12,18,9,3,99,99,9999,6,1
"78",78,2015,1,9,5,14,3,2,11,1101,2,99,9,999,9,16,12,18,9,2,99,99,9999,6,2
"79",79,2015,1,9,5,21,4,3,14,1420,2,99,1,32,1,5,5,7,9,9,37,4,9999,6,1
"80",80,2015,1,10,6,12,3,2,1,103,2,99,1,30,1,5,5,7,9,4,10,4,9999,6,1
"81",81,2015,1,10,6,10,2,1,1,101,1,10,1,26,1,4,4,6,9,2,44,11,9999,6,1
"82",82,2015,1,10,6,5,1,1,1,102,2,99,9,999,9,16,12,18,9,4,99,99,9999,6,2
"83",83,2015,1,10,6,12,3,2,1,115,2,99,1,50,1,9,9,11,9,4,99,1,9999,6,1
"84",84,2015,1,10,6,22,4,3,1,114,2,99,1,50,1,9,9,11,9,1,21,2,9999,6,2
"85",85,2015,1,10,6,13,3,2,1,117,2,9,9,999,9,16,12,18,9,3,99,99,9999,6,2
"86",86,2015,1,10,6,7,2,1,1,108,1,4,9,999,9,16,12,18,9,1,32,3,2007,4,1
"87",87,2015,1,10,6,19,4,3,21,2101,1,99,2,19,1,2,2,4,9,4,42,3,2007,4,1
"88",88,2015,1,10,6,21,4,3,5,507,2,99,1,26,1,4,4,6,9,4,99,3,9999,6,1
"89",89,2015,1,10,6,17,3,2,10,1001,1,99,1,44,1,7,7,9,9,14,99,99,9999,6,1
"90",90,2015,1,10,6,7,2,1,10,1001,2,9,1,29,1,4,4,6,9,5,44,1,1992,3,3
"91",91,2015,1,10,6,13,3,2,9,901,1,9,9,999,9,16,12,18,9,3,99,99,9999,6,2
"92",92,2015,1,10,6,18,4,3,13,1301,1,11,1,19,1,2,2,4,9,4,42,3,2006,4,1
"93",93,2015,1,10,6,11,2,1,16,1601,2,99,1,38,1,6,6,8,9,5,19,6,9999,6,1
"94",94,2015,1,10,6,11,2,1,18,1801,1,99,1,28,1,4,4,6,9,4,21,3,2006,4,1
"95",95,2015,1,10,6,17,3,2,14,1405,1,99,1,35,1,6,6,8,9,3,44,9,1994,3,3
"96",96,2015,1,10,6,12,3,2,4,410,2,99,1,38,1,6,6,8,9,4,99,99,9999,6,1
"97",97,2015,1,11,7,14,3,2,1,101,2,1,1,39,1,6,6,8,1,1,30,4,2006,4,1
"98",98,2015,1,11,7,1,1,1,1,101,1,18,1,21,1,3,3,5,1,4,2,5,9999,6,1
"99",99,2015,1,11,7,15,3,2,1,101,1,18,1,50,1,9,9,11,1,3,9,1,9999,6,2
"100",100,2015,1,11,7,15,3,2,1,115,2,12,1,29,1,4,4,6,1,4,21,5,9999,6,3
"101",101,2015,1,11,7,11,2,1,1,117,1,9,1,23,1,3,3,5,1,4,2,5,2014,5,2
"102",102,2015,1,11,7,0,1,1,1,115,2,99,1,28,1,4,4,6,1,4,99,5,9999,6,4
"103",103,2015,1,11,7,0,1,1,5,501,2,99,1,35,1,6,6,8,1,4,99,99,9999,6,2
"104",104,2015,1,11,7,11,2,1,6,602,2,99,1,36,1,6,6,8,1,9,44,2,2012,5,1
"105",105,2015,1,11,7,17,3,2,6,602,2,99,1,40,1,7,7,9,2,4,99,5,9999,6,1
"106",106,2015,1,11,7,18,4,3,11,1101,2,99,1,29,1,4,4,6,2,4,42,1,9999,6,2
"107",107,2015,1,11,7,21,4,3,9,920,2,99,1,27,1,4,4,6,1,9,44,2,2006,4,1
"108",108,2015,1,11,7,23,4,3,16,1601,2,99,1,42,1,7,7,9,1,3,44,5,9999,6,1
"109",109,2015,1,11,7,0,1,1,18,1801,2,99,1,19,1,2,2,4,2,4,99,99,9999,6,2
"110",110,2015,1,11,7,22,4,3,4,401,2,99,9,999,9,16,12,18,1,3,44,6,9999,6,1
"111",111,2015,1,11,7,9,2,1,3,301,2,99,1,29,1,4,4,6,1,3,20,2,2012,5,1
"112",112,2015,1,12,1,23,4,3,1,101,1,9,1,49,1,8,8,10,1,4,24,1,9999,6,2
"113",113,2015,1,12,1,10,2,1,1,113,2,99,1,31,1,5,5,7,1,4,20,9,9999,6,1
"114",114,2015,1,12,1,23,4,3,1,101,1,11,1,22,1,3,3,5,1,4,40,3,9999,6,2
"115",115,2015,1,12,1,8,2,1,1,108,2,10,1,39,1,6,6,8,1,4,24,4,2010,5,1
"116",116,2015,1,12,1,8,2,1,5,501,2,99,1,32,1,5,5,7,1,3,44,1,1987,2,3
"117",117,2015,1,12,1,0,1,1,5,501,2,99,1,21,1,3,3,5,1,3,44,4,9999,6,1
"118",118,2015,1,12,1,23,4,3,9,901,2,99,1,26,1,4,4,6,1,6,15,2,9999,6,2
"119",119,2015,1,12,1,15,3,2,12,1208,2,99,1,30,1,5,5,7,1,3,44,2,9999,6,2
"120",120,2015,1,12,1,14,3,2,2,201,2,99,1,33,1,5,5,7,1,4,2,1,9999,6,2
"121",121,2015,1,13,2,15,3,2,1,101,1,1,1,27,1,4,4,6,1,3,37,2,2006,4,1
"122",122,2015,1,13,2,9,2,1,22,2216,2,99,1,40,1,7,7,9,1,5,15,3,9999,6,1
"123",123,2015,1,13,2,20,4,3,22,2201,2,99,1,59,1,10,10,12,1,1,44,6,9999,6,1
"124",124,2015,1,13,2,12,3,2,18,1801,2,99,1,34,1,5,5,7,1,11,34,2,9999,6,1
"125",125,2015,1,14,3,4,1,1,1,101,1,3,1,36,1,6,6,8,1,1,20,5,9999,6,1
"126",126,2015,1,14,3,23,4,3,1,101,1,6,1,40,1,7,7,9,9,2,99,99,9999,6,1
"127",127,2015,1,14,3,8,2,1,1,101,1,18,9,999,9,16,12,18,9,99,99,99,9999,6,1
"128",128,2015,1,14,3,12,3,2,1,101,1,13,2,40,1,7,7,9,1,1,44,3,2007,4,1
"129",129,2015,1,14,3,11,2,1,1,115,1,12,1,17,2,2,2,4,1,4,49,5,9999,6,1
"130",130,2015,1,14,3,23,4,3,1,101,1,11,1,53,1,9,9,11,9,99,30,2,9999,6,1
"131",131,2015,1,14,3,11,2,1,1,110,1,1,9,999,9,16,12,18,9,1,99,4,9999,6,1
"132",132,2015,1,14,3,19,4,3,20,2001,2,1,2,44,1,7,7,9,9,4,42,1,2007,4,1
"133",133,2015,1,14,3,23,4,3,19,1901,2,99,1,17,2,2,2,4,2,4,42,1,9999,6,4
"134",134,2015,1,14,3,21,4,3,5,509,2,99,1,30,1,5,5,7,9,4,99,99,9999,6,2
"135",135,2015,1,14,3,21,4,3,10,1001,2,99,9,999,9,16,12,18,9,5,33,2,9999,6,1
"136",136,2015,1,14,3,13,3,2,12,1210,2,99,1,35,1,6,6,8,9,99,99,99,9999,6,1
"137",137,2015,1,14,3,1,1,1,13,1301,2,99,9,999,9,16,12,18,9,99,99,99,9999,6,1
"138",138,2015,1,14,3,9,2,1,18,1805,2,99,1,39,1,6,6,8,9,3,37,99,2011,5,1
"139",139,2015,1,14,3,12,3,2,17,1708,2,99,1,54,1,9,9,11,9,5,19,2,1995,3,1
"140",140,2015,1,15,4,15,3,2,1,101,1,11,2,63,1,11,11,13,9,1,44,2,9999,6,1
"141",141,2015,1,15,4,3,1,1,5,509,2,99,1,22,1,3,3,5,9,4,14,99,9999,6,4
"142",142,2015,1,15,4,17,3,2,9,920,2,99,1,29,1,4,4,6,9,4,99,99,9999,6,1
"143",143,2015,1,16,5,23,4,3,1,101,1,12,1,31,1,5,5,7,9,6,22,2,9999,6,1
"144",144,2015,1,16,5,22,4,3,19,1906,2,99,9,999,9,16,12,18,9,1,37,2,9999,6,1
"145",145,2015,1,16,5,1,1,1,5,501,2,99,1,52,1,9,9,11,9,5,33,2,1989,2,1
"146",146,2015,1,16,5,6,2,1,5,505,2,99,9,999,9,16,12,18,9,6,15,99,2000,4,1
"147",147,2015,1,16,5,18,4,3,10,1020,2,99,1,32,1,5,5,7,9,7,99,99,1997,3,1
"148",148,2015,1,16,5,16,3,2,9,909,2,99,1,53,1,9,9,11,9,3,44,1,1993,3,4
"149",149,2015,1,16,5,7,2,1,2,206,2,99,1,37,1,6,6,8,9,1,21,9,9999,6,3
"150",150,2015,1,16,5,10,2,1,17,1710,2,99,9,999,9,16,12,18,9,12,99,7,9999,6,1
"151",151,2015,1,16,5,15,3,2,17,1710,2,99,1,999,9,16,12,18,9,3,44,4,9999,6,2
"152",152,2015,1,16,5,23,4,3,7,701,2,99,1,34,1,5,5,7,2,4,99,99,9999,6,4
"153",153,2015,1,17,6,18,4,3,1,101,1,1,1,38,1,6,6,8,2,1,44,5,2007,4,1
"154",154,2015,1,17,6,9,2,1,1,115,1,5,2,27,1,4,4,6,9,1,42,4,2006,4,1
"155",155,2015,1,17,6,23,4,3,1,115,1,3,1,999,9,16,12,18,9,4,99,3,9999,6,1
"156",156,2015,1,17,6,19,4,3,1,116,1,4,2,18,1,2,2,4,9,4,99,99,9999,6,2
"157",157,2015,1,17,6,8,2,1,1,108,1,4,1,23,1,3,3,5,9,1,37,7,1998,3,2
"158",158,2015,1,17,6,18,4,3,22,2205,2,99,1,45,1,8,8,10,1,14,2,1,2013,5,1
"159",159,2015,1,17,6,0,1,1,22,2201,2,99,1,26,1,4,4,6,9,1,99,99,9999,6,2
"160",160,2015,1,17,6,10,2,1,22,2212,2,99,1,34,1,5,5,7,9,3,44,9,9999,6,1
"161",161,2015,1,17,6,14,3,2,5,501,2,99,1,34,1,5,5,7,9,2,20,5,9999,6,2
"162",162,2015,1,17,6,11,2,1,10,1006,2,99,1,22,1,3,3,5,9,4,14,2,9999,6,1
"163",163,2015,1,17,6,23,4,3,10,1001,2,99,2,28,1,4,4,6,9,4,99,99,9999,6,4
"164",164,2015,1,17,6,15,3,2,12,1215,2,99,9,999,9,16,12,18,9,9,5,2,9999,6,1
"165",165,2015,1,17,6,23,4,3,12,1211,2,99,1,34,1,5,5,7,9,1,21,99,9999,6,2
"166",166,2015,1,17,6,17,3,2,12,1212,2,99,1,36,1,6,6,8,2,2,13,3,2001,4,2
"167",167,2015,1,17,6,16,3,2,16,1601,2,99,9,999,9,16,12,18,9,99,99,99,9999,6,1
"168",168,2015,1,17,6,21,4,3,16,1607,2,99,1,23,1,3,3,5,2,14,2,1,2011,5,2
"169",169,2015,1,17,6,22,4,3,15,1503,2,99,1,34,1,5,5,7,9,3,37,3,1998,3,2
"170",170,2015,1,17,6,14,3,2,2,205,2,99,1,26,1,4,4,6,2,4,42,5,1986,2,1
"171",171,2015,1,17,6,20,4,3,18,1801,2,99,1,54,1,9,9,11,9,12,19,8,1989,2,1
"172",172,2015,1,17,6,10,2,1,17,1707,2,99,2,20,1,3,3,5,9,4,16,5,9999,6,1
"173",173,2015,1,17,6,16,3,2,17,1712,2,99,9,999,9,16,12,18,9,3,99,99,9999,6,3
"174",174,2015,1,17,6,18,4,3,7,704,2,99,1,66,1,12,11,14,9,6,19,2,1999,3,1
"175",175,2015,1,17,6,8,2,1,4,406,2,99,9,999,9,16,12,18,9,3,44,2,9999,6,1
"176",176,2015,1,18,7,2,1,1,1,101,1,10,1,37,1,6,6,8,9,4,21,1,2012,5,1
"177",177,2015,1,18,7,23,4,3,1,101,1,11,1,35,1,6,6,8,9,99,32,6,9999,6,2
"178",178,2015,1,18,7,3,1,1,1,108,1,3,9,999,9,16,12,18,9,5,34,2,9999,6,1
"179",179,2015,1,18,7,5,1,1,22,2213,1,3,1,45,1,8,8,10,9,4,42,5,2006,4,2
"180",180,2015,1,18,7,20,4,3,20,2005,1,3,9,999,9,16,12,18,9,2,23,4,9999,6,2
"181",181,2015,1,18,7,16,3,2,5,505,2,99,1,48,1,8,8,10,9,3,13,3,2006,4,1
"182",182,2015,1,18,7,13,3,2,10,1001,1,3,1,23,1,3,3,5,9,3,44,5,1995,3,1
"183",183,2015,1,18,7,5,1,1,13,1301,1,1,1,999,9,16,12,18,1,1,37,11,1995,3,1
"184",184,2015,1,18,7,22,4,3,13,1310,2,99,9,999,9,16,12,18,9,5,99,99,9999,6,1
"185",185,2015,1,18,7,20,4,3,16,1609,2,99,9,999,9,16,12,18,9,1,99,99,9999,6,1
"186",186,2015,1,18,7,20,4,3,16,1601,2,99,9,999,9,16,12,18,9,3,99,99,9999,6,1
"187",187,2015,1,18,7,23,4,3,18,1801,2,99,1,22,1,3,3,5,9,4,42,4,9999,6,4
"188",188,2015,1,18,7,22,4,3,17,1711,2,99,1,17,2,2,2,4,9,4,99,99,9999,6,2
"189",189,2015,1,18,7,13,3,2,7,701,2,99,1,20,1,3,3,5,9,4,99,99,9999,6,4
"190",190,2015,1,19,1,23,4,3,1,101,2,1,9,999,9,16,12,18,9,1,99,99,9999,6,1
"191",191,2015,1,19,1,14,3,2,1,101,1,11,1,27,1,4,4,6,9,5,99,3,9999,6,1
"192",192,2015,1,19,1,16,3,2,22,2205,2,99,1,25,1,4,4,6,9,4,99,5,9999,6,2
"193",193,2015,1,19,1,1,1,1,6,602,2,99,1,58,1,10,10,12,9,3,44,5,9999,6,4
"194",194,2015,1,19,1,14,3,2,10,1016,2,99,1,25,1,4,4,6,9,14,2,1,2012,5,2
"195",195,2015,1,19,1,6,2,1,4,401,2,99,9,999,9,16,12,18,9,9,99,7,9999,6,1
"196",196,2015,1,19,1,21,4,3,4,413,2,99,1,46,1,8,8,10,9,4,21,5,9999,6,2
"197",197,2015,1,20,2,22,4,3,1,101,1,1,1,24,1,3,3,5,9,1,30,2,2000,4,1
"198",198,2015,1,20,2,21,4,3,1,101,1,7,1,52,1,9,9,11,9,4,42,5,9999,6,1
"199",199,2015,1,20,2,21,4,3,6,602,2,99,2,27,1,4,4,6,9,4,21,5,9999,6,1
"200",200,2015,1,20,2,16,3,2,15,1501,2,99,2,23,1,3,3,5,9,1,37,4,9999,6,2
"201",201,2015,1,20,2,1,1,1,14,1401,2,99,1,41,1,7,7,9,9,3,44,6,9999,6,4
"202",202,2015,1,21,3,12,3,2,5,501,2,99,1,35,1,6,6,8,9,4,99,99,9999,6,4
"203",203,2015,1,21,3,4,1,1,6,602,2,99,1,36,1,6,6,8,9,5,13,9,9999,6,4
"204",204,2015,1,21,3,13,3,2,10,1010,2,99,1,41,1,7,7,9,9,3,44,9,9999,6,2
"205",205,2015,1,21,3,6,2,1,17,1701,2,99,1,27,1,4,4,6,9,4,99,1,9999,6,2
"206",206,2015,1,22,4,16,3,2,1,101,1,1,1,30,1,5,5,7,9,4,61,5,2000,4,1
"207",207,2015,1,22,4,22,4,3,22,2201,2,99,1,41,1,7,7,9,9,1,44,2,9999,6,2
"208",208,2015,1,22,4,8,2,1,15,1501,2,99,1,34,1,5,5,7,9,9,44,2,9999,6,1
"209",209,2015,1,23,5,23,4,3,1,101,1,5,1,32,1,5,5,7,9,4,61,5,2011,5,2
"210",210,2015,1,23,5,7,2,1,1,108,1,8,1,17,2,2,2,4,9,4,21,1,2004,4,2
"211",211,2015,1,23,5,13,3,2,21,2101,2,99,1,26,1,4,4,6,1,4,21,2,9999,6,1
"212",212,2015,1,23,5,0,1,1,5,509,2,99,2,26,1,4,4,6,1,4,99,5,2012,5,1
"213",213,2015,1,23,5,16,3,2,5,509,2,99,1,24,1,3,3,5,1,4,10,5,9999,6,1
"214",214,2015,1,23,5,22,4,3,5,501,1,1,1,15,2,2,2,4,1,4,20,3,2013,5,1
"215",215,2015,1,23,5,10,2,1,5,505,2,99,1,35,1,6,6,8,2,1,20,2,2012,5,1
"216",216,2015,1,23,5,11,2,1,11,1105,2,99,1,79,1,14,11,16,1,3,99,2,9999,6,1
"217",217,2015,1,23,5,0,1,1,13,1309,2,99,1,999,9,16,12,18,9,3,99,99,9999,6,3
"218",218,2015,1,23,5,16,3,2,16,1607,2,99,1,15,2,2,2,4,9,4,99,99,9999,6,1
"219",219,2015,1,23,5,23,4,3,2,201,2,99,9,999,9,16,12,18,9,4,99,99,9999,6,3
"220",220,2015,1,23,5,17,3,2,17,1703,2,99,1,25,1,4,4,6,1,4,2,1,9999,6,1
"221",221,2015,1,23,5,13,3,2,14,1408,2,99,1,15,2,2,2,4,1,4,99,99,9999,6,2
"222",222,2015,1,23,5,7,2,1,4,409,2,99,1,999,9,16,12,18,9,6,15,2,1998,3,1
"223",223,2015,1,24,6,23,4,3,1,101,1,1,1,24,1,3,3,5,9,1,21,5,9999,6,1
"224",224,2015,1,24,6,5,1,1,1,101,1,5,1,35,1,6,6,8,9,4,24,1,9999,6,2
"225",225,2015,1,24,6,2,1,1,1,103,2,99,1,31,1,5,5,7,9,4,99,5,9999,6,2
"226",226,2015,1,24,6,17,3,2,1,101,1,7,2,16,2,2,2,4,9,4,99,99,9999,6,4
"227",227,2015,1,24,6,17,3,2,1,101,1,21,1,50,1,9,9,11,9,1,44,99,9999,6,1
"228",228,2015,1,24,6,0,1,1,1,114,2,99,1,28,1,4,4,6,9,4,21,1,9999,6,1
"229",229,2015,1,24,6,21,4,3,1,114,2,99,1,25,1,4,4,6,1,1,99,4,1991,3,1
"230",230,2015,1,24,6,13,3,2,5,509,2,99,1,25,1,4,4,6,1,4,42,5,2013,5,1
"231",231,2015,1,24,6,9,2,1,5,501,2,99,1,33,1,5,5,7,9,4,24,99,9999,6,1
"232",232,2015,1,24,6,22,4,3,6,614,2,99,1,30,1,5,5,7,9,4,21,1,9999,6,1
"233",233,2015,1,24,6,1,1,1,6,607,2,99,1,19,1,2,2,4,9,4,37,1,9999,6,2
"234",234,2015,1,24,6,17,3,2,10,1001,2,99,1,23,1,3,3,5,9,4,99,99,9999,6,2
"235",235,2015,1,24,6,9,2,1,11,1106,2,99,9,999,9,16,12,18,9,5,19,2,1994,3,1
"236",236,2015,1,24,6,23,4,3,9,901,1,1,2,25,1,4,4,6,9,1,32,5,2004,4,1
"237",237,2015,1,24,6,4,1,1,17,1709,2,99,1,999,9,16,12,18,9,3,44,5,9999,6,3
"238",238,2015,1,25,7,5,1,1,1,101,1,1,1,33,1,5,5,7,2,1,44,4,1991,3,1
"239",239,2015,1,25,7,5,1,1,1,103,2,99,1,33,1,5,5,7,1,4,99,1,9999,6,1
"240",240,2015,1,25,7,2,1,1,1,103,2,99,1,999,9,16,12,18,9,1,99,99,9999,6,1
"241",241,2015,1,25,7,4,1,1,1,101,1,10,1,25,1,4,4,6,1,1,46,99,9999,6,2
"242",242,2015,1,25,7,2,1,1,1,115,1,5,1,22,1,3,3,5,1,4,2,5,9999,6,2
"243",243,2015,1,25,7,20,4,3,22,2205,2,99,1,36,1,6,6,8,2,3,99,4,2003,4,3
"244",244,2015,1,25,7,18,4,3,5,502,2,99,1,66,1,12,11,14,1,9,32,2,2004,4,1
"245",245,2015,1,25,7,15,3,2,6,610,2,99,1,18,1,2,2,4,1,4,99,99,9999,6,2
"246",246,2015,1,25,7,23,4,3,11,1102,2,99,1,28,1,4,4,6,2,1,32,9,2008,4,2
"247",247,2015,1,25,7,1,1,1,11,1102,2,99,1,999,9,16,12,18,1,6,15,2,9999,6,1
"248",248,2015,1,25,7,19,4,3,15,1501,2,99,1,999,9,16,12,18,1,3,13,3,2000,4,1
"249",249,2015,1,25,7,14,3,2,17,1701,2,99,2,999,9,16,12,18,1,4,99,99,9999,6,1
