"num_vehí","dia_ocu","mes_ocu","dia_sem_ocu","hora_ocu","depto_ocu","mupio_ocu","areag_ocu","zona_ocu","sexo_pil","edad_pil","g_edad_pil","edad_m1","condic_pil","tipo_vehi","color_vehi","modelo_vehi","causa_acc"
584,8,"Febrero","Miercoles",21,"El Progreso","Sanarate","Rural","Ignorado","Hombre","59","55 y más","Mayor","Ignorado","Motocicleta","Rojo","2007","Colisión"
585,8,"Febrero","Miercoles",20,"Izabal","Puerto Barrios","Urbano","Ignorado","Hombre","58","55 y más","Mayor","Ebrio","Pick up","Gris","1992","Colisión"
586,8,"Febrero","Miercoles",20,"Izabal","Puerto Barrios","Urbano","Ignorado","Mujer","37","35-39","Mayor","Normal","Motocicleta","Rojo","2010","Colisión"
587,8,"Febrero","Miercoles",12,"Izabal","Puerto Barrios","Urbano","Ignorado","Hombre","30","30-34","Mayor","Normal","Motocicleta","Ignorado","Ignorado","Colisión"
588,8,"Febrero","Miercoles",12,"Izabal","Puerto Barrios","Urbano","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Automovil","Ignorado","Ignorado","Colisión"
589,8,"Febrero","Miercoles",15,"Quiché","Joyabaj","Urbano","Ignorado","Hombre","38","35-39","Mayor","Ebrio","Pick up","Blanco","Ignorado","Colisión"
590,8,"Febrero","Miercoles",15,"Quiché","Joyabaj","Urbano","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Motocicleta","Rojo","Ignorado","Colisión"
591,8,"Febrero","Miercoles",6,"Solola","Nahualá","Rural","Ignorado","Hombre","45","45-49","Mayor","Normal","Camión","Blanco","Ignorado","Vuelco"
592,9,"Febrero","Jueves",14,"Chiquimula","Chiquimula","Rural","Ignorado","Hombre","47","45-49","Mayor","Normal","Automovil","Blanco","1991","Colisión"
593,9,"Febrero","Jueves",14,"Chiquimula","Chiquimula","Rural","Ignorado","Hombre","28","25-29","Mayor","Normal","Automovil","Gris","2011","Colisión"
594,9,"Febrero","Jueves",11,"Zacapa","Zacapa","Rural","Ignorado","Hombre","58","55 y más","Mayor","Normal","Bus extraurbano","Blanco","1984","Colisión"
595,9,"Febrero","Jueves",11,"Zacapa","Zacapa","Rural","Ignorado","Hombre","29","25-29","Mayor","Normal","Microbus","Verde","1999","Colisión"
596,9,"Febrero","Jueves",14,"Zacapa","Río Hondo","Urbano","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Motocicleta","Ignorado","Ignorado","Choque"
597,9,"Febrero","Jueves",2,"Escuintla","Escuintla","Urbano","2","Hombre","41","40-44","Mayor","Normal","Motocicleta","Azúl","Ignorado","Colisión"
598,9,"Febrero","Jueves",2,"Escuintla","Escuintla","Urbano","2","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Automovil","Ignorado","Ignorado","Colisión"
599,9,"Febrero","Jueves",6,"San Marcos","Malacatán","Rural","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Motocicleta","Ignorado","Ignorado","Choque"
600,9,"Febrero","Jueves",22,"El Progreso","Guastatoya","Rural","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Pick up","Ignorado","Ignorado","Caida"
601,9,"Febrero","Jueves",14,"Petén","San Benito","Rural","Ignorado","Hombre","Ignorado","Ignorado","Mayor","Normal","Pick up","Negro","Ignorado","Choque"
602,9,"Febrero","Jueves",22,"Quiché","Zacualpa","Rural","Ignorado","Hombre","28","25-29","Mayor","Ignorado","Pick up","Negro","2008","Colisión"
603,9,"Febrero","Jueves",22,"Quiché","Zacualpa","Rural","Ignorado","Hombre","21","20-24","Mayor","Ignorado","Motocicleta","Rojo","Ignorado","Colisión"
604,9,"Febrero","Jueves",23,"Chimaltenango","Chimaltenango","Rural","Ignorado","Hombre","24","20-24","Mayor","Ignorado","Motocicleta","Rojo","2010","Colisión"
605,9,"Febrero","Jueves",23,"Chimaltenango","Chimaltenango","Rural","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Automovil","Ignorado","Ignorado","Colisión"
606,10,"Febrero","Viernes",15,"Suchitepéquez","Mazatenango","Rural","Ignorado","Hombre","30","30-34","Mayor","Ignorado","Motocicleta","Ignorado","2005","Colisión"
607,10,"Febrero","Viernes",15,"Suchitepéquez","Mazatenango","Rural","Ignorado","Hombre","27","25-29","Mayor","Ignorado","Pick up","Rojo","2010","Colisión"
608,10,"Febrero","Viernes",0,"Retalhuleu","Retalhuleu","Rural","Ignorado","Hombre","29","25-29","Mayor","Ignorado","Automovil","Corinto","Ignorado","Colisión"
609,10,"Febrero","Viernes",0,"Retalhuleu","Retalhuleu","Rural","Ignorado","Hombre","34","30-34","Mayor","Ignorado","Pick up","Rojo","Ignorado","Colisión"
610,10,"Febrero","Viernes",20,"San Marcos","Malacatán","Rural","Ignorado","Hombre","23","20-24","Mayor","Ignorado","Automovil","Corinto","Ignorado","Colisión"
611,10,"Febrero","Viernes",20,"San Marcos","Malacatán","Rural","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Pick up","Rojo","Ignorado","Colisión"
612,10,"Febrero","Viernes",17,"El Progreso","Sanarate","Rural","Ignorado","Mujer","39","35-39","Mayor","Ignorado","Pick up","Azúl","Ignorado","Vuelco"
613,10,"Febrero","Viernes",17,"Solola","Nahualá","Rural","Ignorado","Hombre","40","40-44","Mayor","Ignorado","Pick up","Negro","1990","Caida"
614,11,"Febrero","Sábado",0,"Guatemala","Guatemala","Urbano","1","Hombre","27","25-29","Mayor","Ebrio","Automovil","Beige","1999","Colisión"
615,11,"Febrero","Sábado",0,"Guatemala","Guatemala","Urbano","1","Hombre","31","30-34","Mayor","Normal","Automovil","Blanco","2007","Colisión"
616,11,"Febrero","Sábado",2,"Guatemala","Mixco","Urbano","6","Hombre","41","40-44","Mayor","Ebrio","Automovil","Gris","Ignorado","Colisión"
617,11,"Febrero","Sábado",2,"Guatemala","Mixco","Urbano","6","Hombre","34","30-34","Mayor","Normal","Automovil","Blanco","2007","Colisión"
618,11,"Febrero","Sábado",2,"Guatemala","Mixco","Urbano","6","Hombre","45","45-49","Mayor","Normal","Automovil","Negro","1988","Colisión"
619,11,"Febrero","Sábado",2,"Guatemala","Mixco","Urbano","6","Hombre","24","20-24","Mayor","Normal","Motocicleta","Rojo","2008","Colisión"
620,11,"Febrero","Sábado",22,"Zacapa","Zacapa","Rural","Ignorado","Hombre","30","30-34","Mayor","Normal","Motocicleta","Rojo","2009","Colisión"
621,11,"Febrero","Sábado",22,"Zacapa","Zacapa","Rural","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Motocicleta","Rojo","2011","Colisión"
622,11,"Febrero","Sábado",16,"Escuintla","Escuintla","Rural","Ignorado","Hombre","33","30-34","Mayor","Ignorado","Bus extraurbano","Verde","Ignorado","Vuelco"
623,11,"Febrero","Sábado",18,"Retalhuleu","Retalhuleu","Rural","Ignorado","Hombre","27","25-29","Mayor","Ignorado","Cabezal","Verde","Ignorado","Colisión"
624,11,"Febrero","Sábado",18,"Retalhuleu","Retalhuleu","Rural","Ignorado","Hombre","38","35-39","Mayor","Ignorado","Pick up","Azúl","Ignorado","Colisión"
625,11,"Febrero","Sábado",1,"Alta Verapaz","Cobán","Rural","Ignorado","Hombre","30","30-34","Mayor","Ignorado","Motocicleta","Rojo","Ignorado","Colisión"
626,11,"Febrero","Sábado",16,"Quiché","Santa Cruz del Quiché","Rural","Ignorado","Hombre","37","35-39","Mayor","Ignorado","Motocicleta","Rojo","2008","Colisión"
627,11,"Febrero","Sábado",10,"Solola","Sololá","Rural","Ignorado","Hombre","27","25-29","Mayor","Ignorado","Camión","Azúl","2005","Colisión"
628,11,"Febrero","Sábado",11,"Solola","Sololá","Rural","Ignorado","Hombre","24","20-24","Mayor","Ignorado","Automovil","Blanco","1999","Colisión"
629,11,"Febrero","Sábado",11,"Solola","Sololá","Rural","Ignorado","Hombre","33","30-34","Mayor","Ignorado","Camión","Rojo","1992","Colisión"
630,11,"Febrero","Sábado",9,"Sacatepéquez","Antigua Guatemala","Rural","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Microbus","Azúl","Ignorado","Colisión"
631,12,"Febrero","Domingo",0,"Guatemala","Guatemala","Urbano","8","Hombre","29","25-29","Mayor","Ignorado","Automovil","Gris","2002","Colisión"
632,12,"Febrero","Domingo",0,"Guatemala","Guatemala","Urbano","8","Hombre","33","30-34","Mayor","Ignorado","Automovil","Azúl","1987","Colisión"
633,12,"Febrero","Domingo",9,"Guatemala","Guatemala","Urbano","6","Hombre","30","30-34","Mayor","Ignorado","Automovil","Verde","Ignorado","Colisión"
634,12,"Febrero","Domingo",9,"Guatemala","Guatemala","Urbano","6","Hombre","48","45-49","Mayor","Ignorado","Automovil","Azúl","Ignorado","Colisión"
635,12,"Febrero","Domingo",14,"Guatemala","San Juan Sacatepéquez","Rural","Ignorado","Hombre","23","20-24","Mayor","Ignorado","Pick up","Negro","Ignorado","Colisión"
636,12,"Febrero","Domingo",14,"Guatemala","San Juan Sacatepéquez","Rural","Ignorado","Hombre","30","30-34","Mayor","Ignorado","Automovil","Verde","Ignorado","Colisión"
637,12,"Febrero","Domingo",14,"Guatemala","San Juan Sacatepéquez","Rural","Ignorado","Hombre","39","35-39","Mayor","Ignorado","Automovil","Azúl","Ignorado","Colisión"
638,12,"Febrero","Domingo",14,"Guatemala","San Juan Sacatepéquez","Rural","Ignorado","Hombre","59","55 y más","Mayor","Ignorado","Automovil","Rojo","Ignorado","Colisión"
639,12,"Febrero","Domingo",21,"Suchitepéquez","Cuyotenango","Rural","Ignorado","Hombre","32","30-34","Mayor","Ignorado","Pick up","Corinto","1994","Vuelco"
640,12,"Febrero","Domingo",9,"Suchitepéquez","San Bernardino","Rural","Ignorado","Hombre","37","35-39","Mayor","Ignorado","Camión","Blanco","1985","Colisión"
641,12,"Febrero","Domingo",9,"Suchitepéquez","San Bernardino","Rural","Ignorado","Hombre","46","45-49","Mayor","Ignorado","Pick up","Gris","2010","Colisión"
642,12,"Febrero","Domingo",9,"Suchitepéquez","San Bernardino","Rural","Ignorado","Hombre","69","55 y más","Mayor","Ignorado","Pick up","Blanco","1987","Colisión"
643,12,"Febrero","Domingo",9,"Suchitepéquez","San Bernardino","Rural","Ignorado","Mujer","24","20-24","Mayor","Ignorado","Motocicleta","Rojo","2008","Colisión"
644,12,"Febrero","Domingo",9,"Quetzaltenango","Quetzaltenango","Rural","Ignorado","Hombre","43","40-44","Mayor","Ignorado","Pick up","Gris","Ignorado","Vuelco"
645,12,"Febrero","Domingo",14,"Quetzaltenango","Coatepeque","Rural","Ignorado","Hombre","34","30-34","Mayor","Ignorado","Motocicleta","Rojo","Ignorado","Colisión"
646,12,"Febrero","Domingo",14,"Quetzaltenango","Coatepeque","Rural","Ignorado","Hombre","37","35-39","Mayor","Ignorado","Automovil","Rojo","1994","Colisión"
647,12,"Febrero","Domingo",17,"El Progreso","Morazán","Rural","Ignorado","Hombre","35","35-39","Mayor","Ignorado","Microbus","Corinto","1988","Caida"
648,12,"Febrero","Domingo",2,"Solola","Sololá","Rural","Ignorado","Hombre","31","30-34","Mayor","Ignorado","Camión","Blanco","1996","Colisión"
649,12,"Febrero","Domingo",2,"Solola","Sololá","Rural","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Camión","Blanco","Ignorado","Colisión"
650,12,"Febrero","Domingo",18,"Chimaltenango","Chimaltenango","Rural","Ignorado","Hombre","22","20-24","Mayor","Ignorado","Motocicleta","Azúl","Ignorado","Colisión"
651,12,"Febrero","Domingo",18,"Chimaltenango","Chimaltenango","Rural","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Automovil","Verde","Ignorado","Colisión"
652,13,"Febrero","Lunes",11,"Guatemala","Guatemala","Urbano","11","Hombre","21","20-24","Mayor","Ignorado","Automovil","Gris","Ignorado","Colisión"
653,13,"Febrero","Lunes",11,"Guatemala","Guatemala","Urbano","11","Hombre","30","30-34","Mayor","Ignorado","Pick up","Blanco","2005","Colisión"
654,13,"Febrero","Lunes",11,"Guatemala","Guatemala","Urbano","19","Hombre","38","35-39","Mayor","Ignorado","Automovil","Verde","1999","Colisión"
655,13,"Febrero","Lunes",11,"Guatemala","Guatemala","Urbano","19","Hombre","31","30-34","Mayor","Ignorado","Motocicleta","Negro","2008","Colisión"
656,13,"Febrero","Lunes",23,"Jutiapa","Quesada","Rural","Ignorado","Hombre","40","40-44","Mayor","Ignorado","Pick up","Azúl","1988","Colisión"
657,13,"Febrero","Lunes",21,"Chiquimula","Chiquimula","Rural","Ignorado","Hombre","32","30-34","Mayor","Ignorado","Pick up","Gris","2011","Colisión"
658,13,"Febrero","Lunes",21,"Chiquimula","Chiquimula","Rural","Ignorado","Hombre","34","30-34","Mayor","Ignorado","Pick up","Rojo","2006","Colisión"
659,13,"Febrero","Lunes",23,"Suchitepéquez","Cuyotenango","Rural","Ignorado","Hombre","22","20-24","Mayor","Ignorado","Automovil","Rojo","1998","Colisión"
660,13,"Febrero","Lunes",20,"Suchitepéquez","San Bernardino","Rural","Ignorado","Hombre","20","20-24","Mayor","Ignorado","Mototaxi","Rojo","2004","Colisión"
661,13,"Febrero","Lunes",20,"Suchitepéquez","San Bernardino","Rural","Ignorado","Hombre","20","20-24","Mayor","Ignorado","Microbus","Azúl","Ignorado","Colisión"
662,14,"Febrero","Martes",20,"Guatemala","Santa Catarina Pinula","Rural","Ignorado","Hombre","43","40-44","Mayor","Ignorado","Camioneta","Blanco","1993","Colisión"
663,14,"Febrero","Martes",20,"Guatemala","Santa Catarina Pinula","Rural","Ignorado","Hombre","32","30-34","Mayor","Ignorado","Motocicleta","Rojo","2008","Colisión"
664,14,"Febrero","Martes",1,"Guatemala","Mixco","Urbano","8","Hombre","39","35-39","Mayor","Ignorado","Automovil","Verde","2000","Colisión"
665,14,"Febrero","Martes",1,"Guatemala","Mixco","Urbano","8","Hombre","25","25-29","Mayor","Ignorado","Motocicleta","Rojo","2005","Colisión"
666,14,"Febrero","Martes",21,"Jalapa","San Luis Jilotepeque","Rural","Ignorado","Ignorado","Ignorado","Ignorado","Mayor","Ignorado","Pick up","Gris","Ignorado","Vuelco"
667,14,"Febrero","Martes",7,"San Marcos","Malacatán","Rural","Ignorado","Hombre","40","40-44","Mayor","Ignorado","Camión","Ignorado","Ignorado","Vuelco"
668,14,"Febrero","Martes",0,"Alta Verapaz","Cobán","Rural","Ignorado","Hombre","30","30-34","Mayor","Ignorado","Pick up","Rojo","1994","Choque"
669,14,"Febrero","Martes",18,"Solola","Sololá","Rural","Ignorado","Hombre","38","35-39","Mayor","Ignorado","Pick up","Ignorado","2005","Colisión"
670,14,"Febrero","Martes",18,"Solola","Sololá","Rural","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Pick up","Blanco","Ignorado","Colisión"
671,15,"Febrero","Miercoles",2,"Quetzaltenango","Quetzaltenango","Urbano","5","Hombre","24","20-24","Mayor","Ignorado","Automovil","Anaranjado","Ignorado","Choque"
672,15,"Febrero","Miercoles",14,"Totonicapán","San Francisco el Alto","Rural","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Camión","Blanco","Ignorado","Colisión"
673,15,"Febrero","Miercoles",14,"Totonicapán","San Francisco el Alto","Rural","Ignorado","Hombre","42","40-44","Mayor","Ignorado","Pick up","Azúl","Ignorado","Colisión"
674,15,"Febrero","Miercoles",0,"Alta Verapaz","Tactic","Rural","Ignorado","Hombre","41","40-44","Mayor","Ignorado","Pick up","Gris","Ignorado","Colisión"
675,15,"Febrero","Miercoles",0,"Alta Verapaz","Tactic","Rural","Ignorado","Hombre","33","30-34","Mayor","Ignorado","Motocicleta","Rojo","Ignorado","Colisión"
676,15,"Febrero","Miercoles",0,"Izabal","Puerto Barrios","Urbano","Ignorado","Hombre","33","30-34","Mayor","Ignorado","Pick up","Negro","Ignorado","Colisión"
677,15,"Febrero","Miercoles",0,"Izabal","Puerto Barrios","Urbano","Ignorado","Hombre","26","25-29","Mayor","Ignorado","Motocicleta","Ignorado","Ignorado","Colisión"
678,15,"Febrero","Miercoles",10,"Guatemala","Guatemala","Urbano","13","Hombre","45","45-49","Mayor","Ignorado","Automovil","Blanco","Ignorado","Colisión"
679,15,"Febrero","Miercoles",22,"Guatemala","Guatemala","Urbano","9","Mujer","22","20-24","Mayor","Normal","Camioneta","Corinto","2002","Colisión"
680,15,"Febrero","Miercoles",22,"Guatemala","Guatemala","Urbano","9","Hombre","31","30-34","Mayor","Normal","Motocicleta","Azúl","2006","Colisión"
681,15,"Febrero","Miercoles",9,"Guatemala","Guatemala","Urbano","10","Hombre","37","35-39","Mayor","Ignorado","Camión","Rojo","Ignorado","Colisión"
682,15,"Febrero","Miercoles",9,"Guatemala","Guatemala","Urbano","10","Hombre","24","20-24","Mayor","Ignorado","Motocicleta","Blanco","Ignorado","Colisión"
683,15,"Febrero","Miercoles",14,"Guatemala","Amatitlán","Rural","Ignorado","Hombre","39","35-39","Mayor","Ignorado","Camión","Blanco","2000","Colisión"
684,15,"Febrero","Miercoles",14,"Guatemala","Amatitlán","Rural","Ignorado","Hombre","Ignorado","Ignorado","Mayor","Ignorado","Motocicleta","Blanco","Ignorado","Colisión"
685,15,"Febrero","Miercoles",23,"Sacatepéquez","Antigua Guatemala","Rural","Ignorado","Hombre","17","15-19","Menor","Ebrio","Automovil","Blanco","1996","Colisión"
686,15,"Febrero","Miercoles",23,"Sacatepéquez","Antigua Guatemala","Rural","Ignorado","Ignorado","Ignorado","Ignorado","Menor","Ignorado","Pick up","Negro","Ignorado","Colisión"
687,16,"Febrero","Jueves",2,"Guatemala","Guatemala","Urbano","9","Hombre","22","20-24","Mayor","Ebrio","Motocicleta","Gris","Ignorado","Choque"
688,16,"Febrero","Jueves",6,"Guatemala","Guatemala","Urbano","9","Hombre","34","30-34","Mayor","Ignorado","Bus extraurbano","Azúl","1992","Colisión"
689,16,"Febrero","Jueves",6,"Guatemala","Guatemala","Urbano","9","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Camión","Gris","Ignorado","Colisión"
690,16,"Febrero","Jueves",15,"Guatemala","Guatemala","Urbano","12","Hombre","41","40-44","Mayor","Ignorado","Camión","Blanco","Ignorado","Colisión"
691,16,"Febrero","Jueves",15,"Guatemala","Guatemala","Urbano","12","Hombre","67","55 y más","Mayor","Ignorado","Motocicleta","Rojo","Ignorado","Colisión"
692,16,"Febrero","Jueves",23,"Guatemala","Villa Canales","Rural","Ignorado","Hombre","28","25-29","Mayor","Ebrio","Automovil","Anaranjado","1992","Colisión"
693,16,"Febrero","Jueves",23,"Guatemala","Villa Canales","Rural","Ignorado","Hombre","32","30-34","Mayor","Normal","Automovil","Azúl","Ignorado","Colisión"
694,16,"Febrero","Jueves",9,"Jalapa","Monjas","Rural","Ignorado","Hombre","67","55 y más","Mayor","Normal","Camioneta","Gris","2001","Colisión"
695,16,"Febrero","Jueves",9,"Jalapa","Monjas","Rural","Ignorado","Hombre","40","40-44","Mayor","Ignorado","Pick up","Rojo","2004","Colisión"
696,16,"Febrero","Jueves",14,"Zacapa","Teculután","Rural","Ignorado","Hombre","34","30-34","Mayor","Ignorado","Pick up","Negro","2004","Colisión"
697,16,"Febrero","Jueves",14,"Zacapa","Teculután","Rural","Ignorado","Hombre","25","25-29","Mayor","Ignorado","Automovil","Corinto","1997","Colisión"
698,16,"Febrero","Jueves",17,"Escuintla","Siquinalá","Rural","Ignorado","Hombre","24","20-24","Mayor","Ebrio","Pick up","Blanco","Ignorado","Choque"
699,16,"Febrero","Jueves",22,"Suchitepéquez","Mazatenango","Rural","Ignorado","Hombre","47","45-49","Mayor","Ignorado","Cabezal","Blanco","1996","Colisión"
700,16,"Febrero","Jueves",22,"Suchitepéquez","Mazatenango","Rural","Ignorado","Hombre","44","40-44","Mayor","Ignorado","Motocicleta","Azúl","Ignorado","Colisión"
701,16,"Febrero","Jueves",14,"Petén","Sayaxché","Rural","Ignorado","Hombre","26","25-29","Mayor","Ignorado","Camión","Anaranjado","Ignorado","Caida"
702,17,"Febrero","Viernes",20,"Guatemala","Guatemala","Urbano","1","Hombre","51","50-54","Mayor","Normal","Automovil","Gris","2003","Colisión"
703,17,"Febrero","Viernes",20,"Guatemala","Guatemala","Urbano","1","Mujer","36","35-39","Mayor","Normal","Automovil","Azúl","1999","Colisión"
704,17,"Febrero","Viernes",10,"Guatemala","Guatemala","Urbano","18","Hombre","43","40-44","Mayor","Normal","Panel","Blanco","Ignorado","Colisión"
705,17,"Febrero","Viernes",10,"Guatemala","Guatemala","Urbano","18","Hombre","Ignorado","Ignorado","Mayor","Ignorado","Motocicleta","Rojo","Ignorado","Colisión"
706,17,"Febrero","Viernes",15,"Guatemala","Mixco","Urbano","1","Hombre","37","35-39","Mayor","Ignorado","Cabezal","Blanco","Ignorado","Colisión"
707,17,"Febrero","Viernes",15,"Guatemala","Mixco","Urbano","1","Hombre","25","25-29","Mayor","Ignorado","Automovil","Rojo","Ignorado","Colisión"
708,17,"Febrero","Viernes",18,"Jutiapa","Jalpatagua","Rural","Ignorado","Hombre","19","15-19","Mayor","Normal","Mototaxi","Ignorado","Ignorado","Colisión"
709,17,"Febrero","Viernes",18,"Jutiapa","Jalpatagua","Rural","Ignorado","Hombre","17","15-19","Menor","Normal","Motocicleta","Ignorado","Ignorado","Colisión"
710,17,"Febrero","Viernes",7,"Quetzaltenango","Coatepeque","Rural","Ignorado","Hombre","27","25-29","Mayor","Normal","Bus extraurbano","Ignorado","Ignorado","Vuelco"
711,17,"Febrero","Viernes",13,"Alta Verapaz","Senahú","Rural","Ignorado","Hombre","43","40-44","Mayor","Normal","Pick up","Corinto","1994","Caida"
712,17,"Febrero","Viernes",22,"Quiché","Joyabaj","Rural","Ignorado","Hombre","18","15-19","Mayor","Ebrio","Motocicleta","Ignorado","Ignorado","Choque"
713,17,"Febrero","Viernes",0,"Chimaltenango","Chimaltenango","Rural","Ignorado","Hombre","22","20-24","Mayor","Ebrio","Automovil","Gris","1990","Colisión"
714,17,"Febrero","Viernes",0,"Chimaltenango","Chimaltenango","Rural","Ignorado","Hombre","Ignorado","Ignorado","Mayor","Normal","Pick up","Negro","Ignorado","Colisión"
715,18,"Febrero","Sábado",19,"Guatemala","Guatemala","Urbano","2","Mujer","56","55 y más","Mayor","Ebrio","Automovil","Azúl","2000","Colisión"
716,18,"Febrero","Sábado",19,"Guatemala","Guatemala","Urbano","2","Hombre","56","55 y más","Mayor","Normal","Automovil","Azúl","2003","Colisión"
717,18,"Febrero","Sábado",20,"Guatemala","Chinuautla","Rural","Ignorado","Hombre","29","25-29","Mayor","Ignorado","Motocicleta","Negro","2009","Colisión"
718,18,"Febrero","Sábado",20,"Guatemala","Chinuautla","Rural","Ignorado","Hombre","39","35-39","Mayor","Normal","Pick up","Ignorado","2008","Colisión"
719,18,"Febrero","Sábado",19,"Guatemala","Guatemala","Urbano","10","Hombre","59","55 y más","Mayor","Ignorado","Camioneta","Gris","1999","Colisión"
720,18,"Febrero","Sábado",19,"Guatemala","Guatemala","Urbano","10","Hombre","22","20-24","Mayor","Ignorado","Pick up","Corinto","Ignorado","Colisión"
721,18,"Febrero","Sábado",15,"Zacapa","Zacapa","Urbano","Ignorado","Hombre","33","30-34","Mayor","Normal","Camión","Blanco","2007","Colisión"
722,18,"Febrero","Sábado",15,"Zacapa","Zacapa","Urbano","Ignorado","Mujer","46","45-49","Mayor","Ignorado","Motocicleta","Rojo","Ignorado","Colisión"
723,18,"Febrero","Sábado",4,"Escuintla","Escuintla","Rural","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Colisión"
724,18,"Febrero","Sábado",4,"Escuintla","Escuintla","Rural","Ignorado","Hombre","17","15-19","Menor","Ignorado","Motocicleta","Ignorado","Ignorado","Colisión"
725,18,"Febrero","Sábado",16,"Izabal","Puerto Barrios","Rural","Ignorado","Hombre","30","30-34","Mayor","Normal","Motocicleta","Negro","2010","Colisión"
726,18,"Febrero","Sábado",16,"Izabal","Puerto Barrios","Rural","Ignorado","Hombre","35","35-39","Mayor","Ebrio","Cabezal","Rojo","1992","Colisión"
727,18,"Febrero","Sábado",11,"Sacatepéquez","Ciudad Vieja","Rural","Ignorado","Hombre","54","50-54","Mayor","Normal","Camión","Azúl","1996","Colisión"
728,18,"Febrero","Sábado",11,"Sacatepéquez","Ciudad Vieja","Rural","Ignorado","Hombre","38","35-39","Mayor","Normal","Camión","Blanco","2003","Colisión"
729,18,"Febrero","Sábado",11,"Sacatepéquez","Ciudad Vieja","Rural","Ignorado","Hombre","61","55 y más","Mayor","Normal","Camión","Blanco","2008","Colisión"
730,18,"Febrero","Sábado",14,"Baja Verapaz","Rabinal","Rural","Ignorado","Hombre","22","20-24","Mayor","Ignorado","Motocicleta","Ignorado","Ignorado","Caida"
731,18,"Febrero","Sábado",23,"Baja Verapaz","San Miguel Chicaj","Rural","Ignorado","Hombre","22","20-24","Mayor","Ebrio","Motocicleta","Rojo","2010","Caida"
732,18,"Febrero","Sábado",0,"Guatemala","Guatemala","Rural","25","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Colisión"
733,18,"Febrero","Sábado",0,"Guatemala","Guatemala","Rural","25","Hombre","50","50-54","Mayor","Ebrio","Motocicleta","Amarillo","Ignorado","Colisión"
734,19,"Febrero","Domingo",2,"Guatemala","Guatemala","Urbano","10","Hombre","22","20-24","Mayor","Normal","Automovil","Negro","Ignorado","Colisión"
735,19,"Febrero","Domingo",2,"Guatemala","Guatemala","Urbano","10","Hombre","Ignorado","Ignorado","Mayor","Normal","Motocicleta","Rojo","Ignorado","Colisión"
736,19,"Febrero","Domingo",10,"Guatemala","Guatemala","Urbano","1","Mujer","29","25-29","Mayor","Normal","Automovil","Negro","2002","Colisión"
737,19,"Febrero","Domingo",10,"Guatemala","Guatemala","Urbano","1","Hombre","33","30-34","Mayor","Normal","Bus urbano","Rojo","1992","Colisión"
738,19,"Febrero","Domingo",0,"Guatemala","Guatemala","Urbano","1","Hombre","19","15-19","Mayor","Ignorado","Motocicleta","Ignorado","Ignorado","Colisión"
739,19,"Febrero","Domingo",0,"Guatemala","Guatemala","Urbano","1","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Automovil","Ignorado","Ignorado","Colisión"
740,19,"Febrero","Domingo",0,"Guatemala","Guatemala","Urbano","1","Hombre","19","15-19","Mayor","Ignorado","Motocicleta","Gris","Ignorado","Colisión"
741,19,"Febrero","Domingo",0,"Guatemala","Guatemala","Urbano","1","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Automovil","Ignorado","Ignorado","Colisión"
742,19,"Febrero","Domingo",0,"Guatemala","Guatemala","Urbano","12","Hombre","22","20-24","Mayor","Ignorado","Camioneta","Verde","2003","Colisión"
743,19,"Febrero","Domingo",0,"Guatemala","Guatemala","Urbano","12","Hombre","Ignorado","Ignorado","Mayor","Ignorado","Motocicleta","Ignorado","Ignorado","Colisión"
744,19,"Febrero","Domingo",22,"Guatemala","Guatemala","Urbano","7","Hombre","38","35-39","Mayor","Ebrio","Camioneta","Azúl","Ignorado","Colisión"
745,19,"Febrero","Domingo",22,"Guatemala","Guatemala","Urbano","7","Hombre","29","25-29","Mayor","Normal","Automovil","Blanco","Ignorado","Colisión"
746,19,"Febrero","Domingo",21,"Guatemala","Villa Canales","Urbano","Ignorado","Hombre","26","25-29","Mayor","Ignorado","Microbus","Gris","1991","Colisión"
747,19,"Febrero","Domingo",21,"Guatemala","Villa Canales","Urbano","Ignorado","Hombre","21","20-24","Mayor","Ignorado","Motocicleta","Azúl","2006","Colisión"
