"","núm_corre","año_ocu","día_ocu","hora_ocu","g_hora","g_hora_5","mes_ocu","día_sem_ocu","mupio_ocu","depto_ocu","zona_ocu","sexo_per","edad_per","g_edad_80ymás","g_edad_60ymás","edad_quinquenales","mayor_menor","tipo_veh","marca_veh","color_veh","modelo_veh","g_modelo_veh","tipo_eve","fall_les","int_o_noint"
"62",62,2017,2,12,3,2,1,1,507,5,99,1,23,3,3,5,1,4,32,7,9999,6,2,1,2
"63",63,2017,2,23,4,3,1,1,101,1,5,1,999,16,12,18,1,4,6,5,9999,6,1,2,1
"64",64,2017,2,23,4,3,1,1,101,1,5,2,999,16,12,18,1,4,6,5,9999,6,1,2,1
"65",65,2017,2,16,3,2,1,1,705,7,99,2,26,4,4,6,1,14,999,99,9999,6,1,2,1
"66",66,2017,2,16,3,2,1,1,705,7,99,1,31,5,5,7,1,14,999,99,9999,6,1,2,1
"67",67,2017,2,21,4,3,1,1,117,1,99,1,18,2,2,4,1,4,32,1,2010,5,2,2,1
"68",68,2017,2,21,4,3,1,1,117,1,99,1,18,2,2,4,1,4,32,1,2010,5,2,2,1
"69",69,2017,3,12,3,2,1,2,106,1,99,1,23,3,3,5,1,4,6,3,2016,5,1,2,1
"70",70,2017,3,15,3,2,1,2,116,1,99,1,26,4,4,6,1,1,27,1,9999,6,1,2,1
"71",71,2017,3,9,2,1,1,2,1904,19,99,1,15,2,2,4,2,3,52,1,2003,4,2,2,1
"72",72,2017,3,20,4,3,1,2,501,5,99,1,25,4,4,6,1,4,999,99,9999,6,1,2,1
"73",73,2017,3,20,4,3,1,2,1323,13,99,1,52,9,9,11,1,3,999,4,9999,6,2,2,2
"74",74,2017,3,11,2,1,1,2,1504,15,99,2,70,13,11,15,1,4,67,3,9999,6,1,2,1
"75",75,2017,3,23,4,3,1,2,301,3,99,1,16,2,2,4,2,4,108,1,9999,6,2,2,1
"76",76,2017,3,23,4,3,1,2,301,3,99,1,16,2,2,4,2,4,108,1,9999,6,2,2,1
"77",77,2017,4,12,3,2,1,3,107,1,99,1,23,3,3,5,1,4,32,3,9999,6,1,2,1
"78",78,2017,4,9,2,1,1,3,306,3,99,1,20,3,3,5,1,3,999,11,2007,4,1,2,1
"79",79,2017,4,16,3,2,1,3,301,3,99,1,26,4,4,6,1,4,6,5,2016,5,1,2,1
"80",80,2017,4,17,3,2,1,3,1001,10,99,1,32,5,5,7,1,4,32,5,9999,6,1,2,1
"81",81,2017,4,17,3,2,1,3,1001,10,99,1,24,3,3,5,1,4,32,5,9999,6,1,2,1
"82",82,2017,4,8,2,1,1,3,1613,16,99,2,55,10,10,12,1,5,52,2,9999,6,1,2,1
"83",83,2017,4,8,2,1,1,3,1613,16,99,2,36,6,6,8,1,5,52,2,9999,6,1,2,1
"84",84,2017,4,8,2,1,1,3,1613,16,99,1,14,1,1,3,2,5,52,2,9999,6,1,2,1
"85",85,2017,4,8,2,1,1,3,1613,16,99,2,39,6,6,8,1,5,52,2,9999,6,1,2,1
"86",86,2017,4,8,2,1,1,3,1613,16,99,2,63,11,11,13,1,5,52,2,9999,6,1,1,2
"87",87,2017,4,10,2,1,1,3,401,4,99,2,41,7,7,9,1,14,6,1,2013,5,1,2,1
"88",88,2017,4,20,4,3,1,3,101,1,99,2,30,5,5,7,1,1,73,5,2002,4,1,2,1
"89",89,2017,5,10,2,1,1,4,110,1,99,1,30,5,5,7,1,4,6,5,9999,6,1,2,1
"90",90,2017,5,10,2,1,1,4,110,1,99,2,28,4,4,6,1,4,6,5,9999,6,1,2,1
"91",91,2017,5,10,2,1,1,4,110,1,99,1,34,5,5,7,1,4,32,5,9999,6,1,2,1
"92",92,2017,5,0,1,1,1,4,109,1,99,1,17,2,2,4,2,4,999,99,9999,6,1,2,1
"93",93,2017,5,0,1,1,1,4,1307,13,99,1,24,3,3,5,1,4,27,5,2005,4,1,2,1
"94",94,2017,5,17,3,2,1,4,1301,13,99,1,32,5,5,7,1,4,96,2,2005,4,1,2,1
"95",95,2017,5,17,3,2,1,4,1301,13,99,1,23,3,3,5,1,4,96,2,2005,4,1,2,1
"96",96,2017,5,15,3,2,1,4,1507,15,99,2,37,6,6,8,1,3,56,10,1987,2,2,2,1
"97",97,2017,5,15,3,2,1,4,1507,15,99,2,80,15,11,17,1,3,56,10,1987,2,2,2,1
"98",98,2017,6,16,3,2,1,5,101,1,18,1,35,6,6,8,1,4,67,1,2016,5,1,2,1
"99",99,2017,6,16,3,2,1,5,101,1,18,1,17,2,2,4,2,4,67,1,2016,5,1,2,1
"100",100,2017,6,21,4,3,1,5,117,1,99,1,22,3,3,5,1,4,64,1,2016,5,1,2,1
"101",101,2017,6,17,3,2,1,5,1901,19,99,1,57,10,10,12,1,4,999,99,9999,6,1,2,1
"102",102,2017,6,17,3,2,1,5,1901,19,99,1,14,1,1,3,2,4,999,99,9999,6,1,2,1
"103",103,2017,6,21,4,3,1,5,803,8,99,2,35,6,6,8,1,3,69,2,9999,6,4,2,1
"104",104,2017,6,20,4,3,1,5,202,2,99,1,16,2,2,4,2,3,69,99,1986,2,1,2,1
"105",105,2017,6,20,4,3,1,5,202,2,99,2,21,3,3,5,1,3,69,99,1986,2,1,2,1
"106",106,2017,6,20,4,3,1,5,202,2,99,2,49,8,8,10,1,3,69,99,1986,2,1,2,1
"107",107,2017,6,14,3,2,1,5,1701,17,99,1,24,3,3,5,1,4,67,5,9999,6,1,1,2
"108",108,2017,7,15,3,2,1,6,101,1,1,2,43,7,7,9,1,4,18,5,2013,5,1,2,1
"109",109,2017,7,9,2,1,1,6,101,1,3,2,25,4,4,6,1,4,3,5,2015,5,1,2,1
"110",110,2017,7,23,4,3,1,6,101,1,8,1,22,3,3,5,1,4,6,3,9999,6,2,2,1
"111",111,2017,7,23,4,3,1,6,101,1,8,2,19,2,2,4,1,4,6,3,9999,6,2,2,1
"112",112,2017,7,23,4,3,1,6,2011,20,99,2,23,3,3,5,1,4,18,2,2014,5,1,2,1
"113",113,2017,7,22,4,3,1,6,1901,19,99,2,26,4,4,6,1,1,69,4,1999,3,1,2,1
"114",114,2017,7,11,2,1,1,6,504,5,99,1,20,3,3,5,1,12,30,6,1991,3,1,2,1
"115",115,2017,7,16,3,2,1,6,611,6,99,1,72,13,11,15,1,3,69,3,1991,3,1,2,1
"116",116,2017,7,16,3,2,1,6,611,6,99,2,22,3,3,5,1,4,32,99,9999,6,1,2,1
"117",117,2017,7,16,3,2,1,6,611,6,99,2,22,3,3,5,1,3,69,3,1991,3,1,2,2
"118",118,2017,7,14,3,2,1,6,1001,10,99,1,27,4,4,6,1,4,6,5,2016,5,1,2,1
"119",119,2017,7,20,4,3,1,6,1601,16,99,1,22,3,3,5,1,4,18,99,9999,6,4,2,1
"120",120,2017,7,18,4,3,1,6,1601,16,99,1,36,6,6,8,1,4,999,99,9999,6,2,2,1
"121",121,2017,7,17,3,2,1,6,201,2,99,1,32,5,5,7,1,3,999,99,9999,6,1,1,2
"122",122,2017,7,17,3,2,1,6,201,2,99,2,40,7,7,9,1,3,999,99,9999,6,1,1,2
"123",123,2017,7,17,3,2,1,6,201,2,99,1,39,6,6,8,1,3,999,99,9999,6,1,1,2
"124",124,2017,7,17,3,2,1,6,201,2,99,1,13,1,1,3,2,3,999,99,9999,6,1,1,2
"125",125,2017,7,17,3,2,1,6,201,2,99,1,42,7,7,9,1,12,30,99,2012,5,1,2,1
"126",126,2017,7,17,3,2,1,6,201,2,99,2,20,3,3,5,1,12,30,99,2012,5,1,2,1
"127",127,2017,7,17,3,2,1,6,201,2,99,1,26,4,4,6,1,12,30,99,2012,5,1,2,1
"128",128,2017,7,17,3,2,1,6,201,2,99,2,18,2,2,4,1,12,30,99,2012,5,1,2,1
"129",129,2017,7,17,3,2,1,6,201,2,99,2,14,1,1,3,2,12,30,99,2012,5,1,2,1
"130",130,2017,7,17,3,2,1,6,201,2,99,1,10,1,1,3,2,12,30,99,2012,5,1,2,1
"131",131,2017,7,17,3,2,1,6,201,2,99,2,11,1,1,3,2,12,30,99,2012,5,1,2,1
"132",132,2017,7,17,3,2,1,6,201,2,99,2,3,1,1,1,2,12,30,99,2012,5,1,2,1
"133",133,2017,7,6,2,1,1,6,208,2,99,1,23,3,3,5,1,3,10,3,9999,6,4,1,2
"134",134,2017,7,5,1,1,1,6,304,3,99,1,26,4,4,6,1,4,6,5,9999,6,4,2,1
"135",135,2017,7,5,1,1,1,6,304,3,99,2,33,5,5,7,1,4,6,5,9999,6,4,2,1
"136",136,2017,8,22,4,3,1,7,1901,19,99,1,44,7,7,9,1,3,48,2,2011,5,1,2,1
"137",137,2017,8,4,1,1,1,7,501,5,99,1,25,4,4,6,1,4,999,99,9999,6,4,1,2
"138",138,2017,8,17,3,2,1,7,920,9,99,1,45,8,8,10,1,11,41,2,2002,4,2,2,1
"139",139,2017,8,1,1,1,1,7,1222,12,99,1,21,3,3,5,1,4,999,99,9999,6,1,2,1
"140",140,2017,8,1,1,1,1,7,1222,12,99,1,30,5,5,7,1,4,999,99,9999,6,1,2,1
"141",141,2017,8,1,1,1,1,7,1222,12,99,1,29,4,4,6,1,3,69,5,1989,2,4,2,1
"142",142,2017,8,1,1,1,1,7,1222,12,99,1,37,6,6,8,1,3,69,5,1989,2,4,2,1
"143",143,2017,8,1,1,1,1,7,1222,12,99,1,14,1,1,3,2,3,69,5,1989,2,4,2,1
"144",144,2017,8,9,2,1,1,7,1601,16,99,1,25,4,4,6,1,4,67,5,2012,5,1,2,1
"145",145,2017,8,9,2,1,1,7,1801,18,99,2,38,6,6,8,1,9,999,99,9999,6,3,2,1
"146",146,2017,8,9,2,1,1,7,1801,18,99,2,42,7,7,9,1,9,999,99,9999,6,3,2,1
"147",147,2017,8,9,2,1,1,7,1801,18,99,2,17,2,2,4,2,9,999,99,9999,6,3,2,1
"148",148,2017,9,23,4,3,1,1,1901,19,99,1,34,5,5,7,1,4,67,99,9999,6,2,1,2
"149",149,2017,9,23,4,3,1,1,1901,19,99,1,18,2,2,4,1,4,67,99,9999,6,2,2,1
"150",150,2017,9,13,3,2,1,1,1002,10,99,1,33,5,5,7,1,14,6,1,9999,6,1,2,1
"151",151,2017,9,13,3,2,1,1,1002,10,99,2,14,1,1,3,2,14,6,1,9999,6,1,2,1
"152",152,2017,10,17,3,2,1,2,106,1,99,2,25,4,4,6,1,12,69,6,9999,6,2,2,1
"153",153,2017,10,17,3,2,1,2,106,1,99,2,39,6,6,8,1,12,69,6,9999,6,2,2,1
"154",154,2017,10,17,3,2,1,2,106,1,99,2,22,3,3,5,1,12,69,6,9999,6,2,2,1
"155",155,2017,10,17,3,2,1,2,106,1,99,2,64,11,11,13,1,12,69,6,9999,6,2,2,1
"156",156,2017,10,17,3,2,1,2,106,1,99,1,64,11,11,13,1,12,69,6,9999,6,2,2,1
"157",157,2017,10,17,3,2,1,2,106,1,99,2,20,3,3,5,1,12,69,6,9999,6,2,2,1
"158",158,2017,10,17,3,2,1,2,106,1,99,1,25,4,4,6,1,12,69,6,9999,6,2,2,1
"159",159,2017,10,17,3,2,1,2,106,1,99,2,23,3,3,5,1,12,69,6,9999,6,2,2,1
"160",160,2017,10,17,3,2,1,2,106,1,99,2,68,12,11,14,1,12,69,6,9999,6,2,2,1
"161",161,2017,10,17,3,2,1,2,106,1,99,2,32,5,5,7,1,12,69,6,9999,6,2,2,1
"162",162,2017,10,17,3,2,1,2,106,1,99,2,50,9,9,11,1,12,69,6,9999,6,2,2,1
"163",163,2017,10,17,3,2,1,2,106,1,99,1,57,10,10,12,1,12,69,6,9999,6,2,2,1
"164",164,2017,10,18,4,3,1,2,2205,22,99,2,18,2,2,4,1,4,67,5,2012,5,4,2,1
"165",165,2017,10,20,4,3,1,2,2101,21,99,2,17,2,2,4,2,3,69,4,1986,2,4,2,1
"166",166,2017,10,20,4,3,1,2,2101,21,99,1,999,16,12,18,1,3,69,4,1986,2,4,2,1
"167",167,2017,10,19,4,3,1,2,2106,21,99,1,15,2,2,4,2,4,999,1,9999,6,1,2,1
"168",168,2017,10,20,4,3,1,2,501,5,99,1,36,6,6,8,1,4,999,99,9999,6,1,1,2
"169",169,2017,10,20,4,3,1,2,501,5,99,1,29,4,4,6,1,4,999,99,9999,6,1,1,2
"170",170,2017,10,0,1,1,1,2,901,9,99,2,53,9,9,11,1,4,20,3,2016,5,1,2,1
"171",171,2017,10,22,4,3,1,2,1303,13,99,1,23,3,3,5,1,5,17,2,1992,3,2,2,1
"172",172,2017,10,22,4,3,1,2,1303,13,99,1,26,4,4,6,1,5,17,2,1992,3,2,2,1
"173",173,2017,10,23,4,3,1,2,1804,18,99,2,20,3,3,5,1,4,999,99,9999,6,1,2,1
"174",174,2017,10,18,4,3,1,2,301,3,99,2,35,6,6,8,1,4,6,5,9999,6,1,2,1
"175",175,2017,11,23,4,3,1,3,101,1,1,1,24,3,3,5,1,4,6,99,9999,6,1,2,1
"176",176,2017,11,23,4,3,1,3,101,1,1,2,19,2,2,4,1,4,6,99,9999,6,1,2,1
"177",177,2017,11,6,2,1,1,3,101,1,18,1,999,16,12,18,1,1,17,2,1997,3,1,2,1
"178",178,2017,11,11,2,1,1,3,117,1,99,1,28,4,4,6,1,4,76,5,9999,6,1,2,1
"179",179,2017,11,17,3,2,1,3,2004,20,99,1,45,8,8,10,1,4,67,1,2016,5,4,1,2
"180",180,2017,11,11,2,1,1,3,1904,19,99,1,26,4,4,6,1,5,26,99,9999,6,1,2,1
"181",181,2017,11,12,3,2,1,3,504,5,99,1,24,3,3,5,1,12,30,7,2003,4,2,2,1
"182",182,2017,11,12,3,2,1,3,504,5,99,2,50,9,9,11,1,12,30,7,2003,4,2,2,1
"183",183,2017,11,12,3,2,1,3,504,5,99,1,25,4,4,6,1,12,30,7,2003,4,2,2,1
"184",184,2017,11,12,3,2,1,3,504,5,99,2,59,10,10,12,1,12,30,7,2003,4,2,2,1
"185",185,2017,11,12,3,2,1,3,504,5,99,1,64,11,11,13,1,12,30,7,2003,4,2,2,1
"186",186,2017,11,12,3,2,1,3,504,5,99,2,18,2,2,4,1,12,30,7,2003,4,2,2,1
"187",187,2017,11,12,3,2,1,3,504,5,99,1,30,5,5,7,1,12,30,7,2003,4,2,2,1
"188",188,2017,11,12,3,2,1,3,504,5,99,2,56,10,10,12,1,12,30,7,2003,4,2,2,1
"189",189,2017,11,12,3,2,1,3,504,5,99,2,49,8,8,10,1,12,30,7,2003,4,2,2,1
"190",190,2017,11,12,3,2,1,3,504,5,99,2,46,8,8,10,1,12,30,7,2003,4,2,2,1
"191",191,2017,11,12,3,2,1,3,504,5,99,1,47,8,8,10,1,12,30,7,2003,4,2,2,1
"192",192,2017,11,12,3,2,1,3,504,5,99,2,55,10,10,12,1,12,30,7,2003,4,2,2,1
"193",193,2017,11,12,3,2,1,3,504,5,99,2,30,5,5,7,1,12,30,7,2003,4,2,2,1
"194",194,2017,11,12,3,2,1,3,504,5,99,1,45,8,8,10,1,12,30,7,2003,4,2,2,1
"195",195,2017,11,12,3,2,1,3,504,5,99,1,43,7,7,9,1,12,30,7,2003,4,2,2,1
"196",196,2017,11,12,3,2,1,3,504,5,99,1,24,3,3,5,1,12,30,7,2003,4,2,2,1
"197",197,2017,11,12,3,2,1,3,504,5,99,1,4,1,1,1,2,12,30,7,2003,4,2,2,1
"198",198,2017,11,12,3,2,1,3,504,5,99,2,6,1,1,2,2,12,30,7,2003,4,2,2,1
"199",199,2017,11,12,3,2,1,3,504,5,99,1,999,16,12,18,1,12,30,7,2003,4,2,1,2
"200",200,2017,11,2,1,1,1,3,509,5,99,1,23,3,3,5,1,4,27,99,9999,6,1,1,2
"201",201,2017,11,2,1,1,1,3,509,5,99,1,28,4,4,6,1,4,27,99,9999,6,1,1,2
"202",202,2017,11,15,3,2,1,3,1101,11,99,2,21,3,3,5,1,4,27,99,9999,6,1,2,2
"203",203,2017,11,15,3,2,1,3,1319,13,99,1,61,11,11,13,1,1,69,3,2007,4,1,2,1
"204",204,2017,11,15,3,2,1,3,1319,13,99,2,58,10,10,12,1,1,69,3,2007,4,1,2,1
"205",205,2017,11,19,4,3,1,3,401,4,99,1,17,2,2,4,2,4,53,4,9999,6,1,1,2
"206",206,2017,11,19,4,3,1,3,401,4,99,2,18,2,2,4,1,4,53,4,9999,6,1,2,2
"207",207,2017,12,13,3,2,1,4,101,1,4,1,39,6,6,8,1,4,6,3,2007,4,1,2,1
"208",208,2017,12,22,4,3,1,4,101,1,2,1,999,16,12,18,1,4,999,99,9999,6,1,2,1
"209",209,2017,12,17,3,2,1,4,101,1,8,1,23,3,3,5,1,4,999,99,9999,6,1,2,1
"210",210,2017,12,11,2,1,1,4,101,1,18,1,25,4,4,6,1,9,52,2,1998,3,1,2,1
"211",211,2017,12,11,2,1,1,4,101,1,18,1,52,9,9,11,1,9,52,2,1998,3,1,2,1
"212",212,2017,12,11,2,1,1,4,101,1,18,2,22,3,3,5,1,9,52,2,1998,3,1,2,1
"213",213,2017,12,11,2,1,1,4,101,1,18,2,39,6,6,8,1,9,52,2,1998,3,1,2,1
"214",214,2017,12,11,2,1,1,4,101,1,18,2,32,5,5,7,1,9,52,2,1998,3,1,2,1
"215",215,2017,12,11,2,1,1,4,101,1,18,1,17,2,2,4,2,9,52,2,1998,3,1,2,1
"216",216,2017,12,11,2,1,1,4,101,1,18,1,15,2,2,4,2,9,52,2,1998,3,1,2,1
"217",217,2017,12,11,2,1,1,4,101,1,18,2,23,3,3,5,1,9,52,2,1998,3,1,2,1
"218",218,2017,12,23,4,3,1,4,117,1,99,1,31,5,5,7,1,4,3,5,9999,6,1,2,1
"219",219,2017,12,7,2,1,1,4,509,5,99,1,43,7,7,9,1,4,32,1,2010,5,1,2,1
"220",220,2017,12,7,2,1,1,4,509,5,99,1,44,7,7,9,1,4,32,1,2010,5,1,2,1
"221",221,2017,12,12,3,2,1,4,509,5,99,1,14,1,1,3,2,22,999,5,2012,5,2,1,2
"222",222,2017,12,14,3,2,1,4,601,6,99,2,40,7,7,9,1,99,56,4,2008,4,1,2,1
"223",223,2017,12,15,3,2,1,4,605,6,99,1,33,5,5,7,1,4,67,5,2011,5,1,1,2
"224",224,2017,13,12,3,2,1,5,101,1,12,1,26,4,4,6,1,1,999,99,9999,6,1,2,1
"225",225,2017,13,1,1,1,1,5,301,3,99,1,23,3,3,5,1,4,32,6,9999,6,4,2,1
"226",226,2017,13,10,2,1,1,5,1604,16,99,1,26,4,4,6,1,1,999,4,9999,6,1,2,1
"227",227,2017,13,10,2,1,1,5,1604,16,99,1,29,4,4,6,1,1,999,4,9999,6,1,2,1
"228",228,2017,13,10,2,1,1,5,1604,16,99,1,35,6,6,8,1,1,999,4,9999,6,1,1,2
"229",229,2017,13,17,3,2,1,5,1001,10,99,1,56,10,10,12,1,3,69,4,9999,6,1,2,1
"230",230,2017,13,16,3,2,1,5,202,2,99,1,47,8,8,10,1,1,41,1,9999,6,1,2,1
"231",231,2017,13,11,2,1,1,5,1419,14,99,1,36,6,6,8,1,3,69,11,9999,6,2,1,2
"232",232,2017,13,11,2,1,1,5,1419,14,99,1,14,1,1,3,2,3,69,11,9999,6,2,1,2
"233",233,2017,13,2,1,1,1,5,1201,12,99,1,24,3,3,5,1,2,69,4,9999,6,2,2,1
"234",234,2017,13,18,4,3,1,5,101,1,1,1,999,16,12,18,1,4,6,4,9999,6,1,2,1
"235",235,2017,13,23,4,3,1,5,101,1,12,1,32,5,5,7,1,4,67,1,2007,4,1,2,1
"236",236,2017,13,22,4,3,1,5,109,1,99,1,27,4,4,6,1,4,6,5,9999,6,1,2,1
"237",237,2017,14,4,1,1,1,6,109,1,99,1,999,16,12,18,1,4,999,5,9999,6,1,1,2
"238",238,2017,14,7,2,1,1,6,101,1,12,1,34,5,5,7,1,4,999,99,9999,6,1,1,2
"239",239,2017,14,9,2,1,1,6,109,1,99,1,21,3,3,5,1,2,27,4,2014,5,1,2,1
"240",240,2017,14,9,2,1,1,6,109,1,99,1,32,5,5,7,1,4,6,5,9999,6,1,2,1
"241",241,2017,14,21,4,3,1,6,110,1,99,1,25,4,4,6,1,4,999,2,2013,5,2,2,1
"242",242,2017,14,21,4,3,1,6,110,1,99,1,999,16,12,18,1,4,999,2,2013,5,2,2,1
"243",243,2017,14,16,3,2,1,6,502,5,99,2,999,16,12,18,1,4,35,3,2012,5,1,2,1
"244",244,2017,14,16,3,2,1,6,502,5,99,1,51,9,9,11,1,4,35,3,2012,5,1,2,1
"245",245,2017,14,5,1,1,1,6,207,2,99,1,32,5,5,7,1,2,52,4,9999,6,4,2,1
"246",246,2017,14,5,1,1,1,6,207,2,99,2,31,5,5,7,1,2,52,4,9999,6,4,2,1
